LocationID,borough,zone,longitude,latitude
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,-74.04069248006846,40.69867180082058
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,-74.01918926085249,40.6881351788492
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,-74.04514167358582,40.689819412109
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,-74.04069248006846,40.69867180082058
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,-74.01918926085249,40.6881351788492
106,Brooklyn,Gowanus,-73.99018765149987,40.67325790149991
107,Manhattan,Gramercy,-73.98401569649994,40.73733742599988
108,Brooklyn,Gravesend,-73.98281648625473,40.58891662738279
109,Staten Island,Great Kills,-74.15076723149994,40.549091639415735
110,Staten Island,Great Kills Park,-74.12700560635957,40.543288545441314
111,Brooklyn,Green-Wood Cemetery,-73.9912179504999,40.65189438149992
112,Brooklyn,Greenpoint,-73.94817837037638,40.72879174306715
113,Manhattan,Greenwich Village North,-73.99496754899997,40.732225179999936
114,Manhattan,Greenwich Village South,-73.99718279649989,40.72853284299991
115,Staten Island,Grymes Hill/Clifton,-74.08732193799997,40.62012292699987
116,Manhattan,Hamilton Heights,-73.94909801096932,40.82764361199991
117,Queens,Hammels/Arverne,-73.79020834890785,40.59609399003111
118,Staten Island,Heartland Village/Todt Hill,-74.13021274799993,40.585660613999906
119,Bronx,Highbridge,-73.92489468218349,40.8367738747174
120,Manhattan,Highbridge Park,-73.93120762703974,40.845989014499935
121,Queens,Hillcrest/Pomonok,-73.80276245849997,40.72739851499991
122,Queens,Hollis,-73.76119590149993,40.71095828749988
123,Brooklyn,Homecrest,-73.96453577199983,40.59992788599992
124,Queens,Howard Beach,-73.84478163086115,40.65957751733932
125,Manhattan,Hudson Sq,-74.00867659015563,40.72546842899988
126,Bronx,Hunts Point,-73.88559393720027,40.81391527000517
127,Manhattan,Inwood,-73.9195757623364,40.864458770638116
128,Manhattan,Inwood Hill Park,-73.92187440824199,40.87285330306071
129,Queens,Jackson Heights,-73.88464253049986,40.75917431549987
130,Queens,Jamaica,-73.79241185499988,40.703279450999894
131,Queens,Jamaica Estates,-73.77298537549986,40.72045217399986
132,Queens,JFK Airport,-73.78962256848521,40.64270355737841
133,Brooklyn,Kensington,-73.97819427599987,40.639400948999885
134,Queens,Kew Gardens,-73.82976224899986,40.70868975249993
135,Queens,Kew Gardens Hills,-73.8208170044999,40.7295279574999
136,Bronx,Kingsbridge Heights,-73.90539442299959,40.865364982999864
137,Manhattan,Kips Bay,-73.97717209350196,40.740335749775284
138,Queens,LaGuardia Airport,-73.87344023987974,40.774851314127446
139,Queens,Laurelton,-73.74374868249993,40.677865432499914
140,Manhattan,Lenox Hill East,-73.95472774589084,40.765305162962136
141,Manhattan,Lenox Hill West,-73.95963426699993,40.76695150749994
142,Manhattan,Lincoln Square East,-73.981530168,40.773658667499916
143,Manhattan,Lincoln Square West,-73.9884571529746,40.77578524049993
144,Manhattan,Little Italy/NoLiTa,-73.99724364299989,40.7208317919999
145,Queens,Long Island City/Hunters Point,-73.94962883744297,40.7465819017009
146,Queens,Long Island City/Queens Plaza,-73.93410482599992,40.75439966049992
147,Bronx,Longwood,-73.89865102299996,40.8190645764999
148,Manhattan,Lower East Side,-73.99066416299985,40.719101661499856
149,Brooklyn,Madison,-73.94642772599988,40.60632914249986
150,Brooklyn,Manhattan Beach,-73.94517721099993,40.58046338042256
151,Manhattan,Manhattan Valley,-73.96822204207639,40.797859116286894
152,Manhattan,Manhattanville,-73.95405467248986,40.81751932147567
153,Manhattan,Marble Hill,-73.91122570160039,40.875597697492566
154,Brooklyn,Marine Park/Floyd Bennett Field,-73.90822143191028,40.59313302587802
155,Brooklyn,Marine Park/Mill Basin,-73.91726201423214,40.61779794555026
156,Staten Island,Mariners Harbor,-74.16934388875629,40.62876220423896
157,Queens,Maspeth,-73.90559976837736,40.72402549949996
158,Manhattan,Meatpacking/West Village West,-74.00977439058099,40.73529527461579
159,Bronx,Melrose South,-73.91395997899984,40.8183345234999
160,Queens,Middle Village,-73.8822008279999,40.71856266999991
161,Manhattan,Midtown Center,-73.97768016050001,40.75803031499993
162,Manhattan,Midtown East,-73.97247058149988,40.75683997849992
163,Manhattan,Midtown North,-73.97704129499989,40.76438657849988
164,Manhattan,Midtown South,-73.98568407899992,40.749083385499915
165,Brooklyn,Midwood,-73.95794227799996,40.62007445249993
166,Manhattan,Morningside Heights,-73.96160445538064,40.80962137687038
167,Bronx,Morrisania/Melrose,-73.90139331649988,40.82798767699991
168,Bronx,Mott Haven/Port Morris,-73.9146704041826,40.80709775342672
169,Bronx,Mount Hope,-73.90625315449984,40.849225903999894
170,Manhattan,Murray Hill,-73.97764804049993,40.74772537849988
171,Queens,Murray Hill-Queens,-73.80844514399993,40.7686573144999
172,Staten Island,New Dorp/Midland Beach,-74.10492810109592,40.57244281468053
173,Queens,North Corona,-73.86339178649989,40.7516370124999
174,Bronx,Norwood,-73.87873647099987,40.87685491549992
175,Queens,Oakland Gardens,-73.75394971599994,40.74330428899989
176,Staten Island,Oakwood,-74.1221582960032,40.56207458560746
177,Brooklyn,Ocean Hill,-73.91139941699996,40.67715529049989
178,Brooklyn,Ocean Parkway South,-73.97035491649984,40.61763614749991
179,Queens,Old Astoria,-73.92778014561382,40.77142084690918
180,Queens,Ozone Park,-73.84834881449993,40.67506227649991
181,Brooklyn,Park Slope,-73.98281926999994,40.67193495149988
182,Bronx,Parkchester,-73.85808235749995,40.83773083199992
183,Bronx,Pelham Bay,-73.83150112949996,40.849546317999895
184,Bronx,Pelham Bay Park,-73.79976234070955,40.86393164263349
185,Bronx,Pelham Parkway,-73.85244987099998,40.85346786199989
186,Manhattan,Penn Station/Madison Sq West,-73.99243404399994,40.748496368499886
187,Staten Island,Port Richmond,-74.13743422052602,40.62569230420253
188,Brooklyn,Prospect-Lefferts Gardens,-73.94477074249983,40.65734495249989
189,Brooklyn,Prospect Heights,-73.96812739849992,40.67722034799988
190,Brooklyn,Prospect Park,-73.97059249049988,40.66064320699987
191,Queens,Queens Village,-73.74201715508471,40.71396095599991
192,Queens,Queensboro Hill,-73.81520176599994,40.74442868499992
193,Queens,Queensbridge/Ravenswood,-73.94239428004576,40.76179195054662
194,Manhattan,Randalls Island,-73.92492725014543,40.791459421382214
195,Brooklyn,Red Hook,-74.00928542932331,40.67546267314576
196,Queens,Rego Park,-73.8656740964999,40.723703407999864
197,Queens,Richmond Hill,-73.83005530899993,40.69267955149989
198,Queens,Ridgewood,-73.90082572749989,40.704617716999934
199,Bronx,Rikers Island,-73.88180428793487,40.792053575806854
200,Bronx,Riverdale/North Riverdale/Fieldston,-73.908472139443,40.90007877400124
201,Queens,Rockaway Park,-73.84103664949998,40.57741959483935
202,Manhattan,Roosevelt Island,-73.95080978375194,40.76118030360056
203,Queens,Rosedale,-73.7445592960488,40.659261826217346
204,Staten Island,Rossville/Woodrow,-74.20652965749998,40.5407672819999
205,Queens,Saint Albans,-73.7634295554999,40.691703479999916
206,Staten Island,Saint George/New Brighton,-74.1006466997697,40.6359899883867
207,Queens,Saint Michaels Cemetery/Woodside,-73.8985326074999,40.763524916999884
208,Bronx,Schuylerville/Edgewater Park,-73.8161966690266,40.824667529157395
209,Manhattan,Seaport,-74.00412857927198,40.708475355352554
210,Brooklyn,Sheepshead Bay,-73.93920262732865,40.593771838499904
211,Manhattan,SoHo,-74.00108181249989,40.72371646899991
212,Bronx,Soundview/Bruckner,-73.87040107549993,40.82828955699988
213,Bronx,Soundview/Castle Hill,-73.86026226949987,40.81671230470968
214,Staten Island,South Beach/Dongan Hills,-74.08480889610621,40.58661701101048
215,Queens,South Jamaica,-73.7922947889999,40.694193820999885
216,Queens,South Ozone Park,-73.82063046149987,40.67721002549988
217,Brooklyn,South Williamsburg,-73.95772069499992,40.70323292049993
218,Queens,Springfield Gardens North,-73.77288619349994,40.67346860149992
219,Queens,Springfield Gardens South,-73.77029838599998,40.66028271149989
220,Bronx,Spuyten Duyvil/Kingsbridge,-73.91075937043254,40.88184231299989
221,Staten Island,Stapleton,-74.07235480045114,40.62023083199988
222,Brooklyn,Starrett City,-73.88291614149992,40.64671541367663
223,Queens,Steinway,-73.90584402349992,40.7784018458909
224,Manhattan,Stuy Town/Peter Cooper Village,-73.97698123604246,40.73170970499915
225,Brooklyn,Stuyvesant Heights,-73.93012533599992,40.68871262399989
226,Queens,Sunnyside,-73.92653501382505,40.73524211703051
227,Brooklyn,Sunset Park East,-74.00294706299992,40.64153459799992
228,Brooklyn,Sunset Park West,-74.00995813949477,40.65359280049992
229,Manhattan,Sutton Place/Turtle Bay North,-73.96499747655662,40.75657363039551
230,Manhattan,Times Sq/Theatre District,-73.98419627399991,40.75981693399994
231,Manhattan,TriBeCa/Civic Center,-74.00726426169042,40.718576348499894
232,Manhattan,Two Bridges/Seward Park,-73.98302108862248,40.71529991058123
233,Manhattan,UN/Turtle Bay South,-73.96997990593074,40.749123894014915
234,Manhattan,Union Sq,-73.99045739599995,40.740236713999906
235,Bronx,University Heights/Morris Heights,-73.9163829039341,40.85370968599988
236,Manhattan,Upper East Side North,-73.95700953199992,40.78043963049991
237,Manhattan,Upper East Side South,-73.96563511049996,40.76861400849991
238,Manhattan,Upper West Side North,-73.97303122261616,40.79178324542306
239,Manhattan,Upper West Side South,-73.97873159717165,40.78402456323369
240,Bronx,Van Cortlandt Park,-73.88054258199983,40.89477328696154
241,Bronx,Van Cortlandt Village,-73.89587824299987,40.87601205349995
242,Bronx,Van Nest/Morris Park,-73.8510353014999,40.849633430499914
243,Manhattan,Washington Heights North,-73.9357980222621,40.85863655093577
244,Manhattan,Washington Heights South,-73.9407743822414,40.8411944354999
245,Staten Island,West Brighton,-74.10069559899995,40.628387064999906
246,Manhattan,West Chelsea/Hudson Yards,-74.0038113169179,40.75241161267808
247,Bronx,West Concourse,-73.92250501292031,40.82918287949994
248,Bronx,West Farms/Bronx River,-73.87330604599998,40.834681044499945
249,Manhattan,West Village,-74.00196507349993,40.734610604999915
250,Bronx,Westchester Village/Unionport,-73.84985149349994,40.83261283899986
251,Staten Island,Westerleigh,-74.12365656199992,40.619568782999906
252,Queens,Whitestone,-73.81569915799989,40.78831078990949
253,Queens,Willets Point,-73.84175020507487,40.76039128611461
254,Bronx,Williamsbridge/Olinville,-73.85823380549994,40.88331035549993
255,Brooklyn,Williamsburg (North Side),-73.95728866733344,40.7187929634527
256,Brooklyn,Williamsburg (South Side),-73.95933243361253,40.71097846301373
257,Brooklyn,Windsor Terrace,-73.97963624499985,40.653477355499916
258,Queens,Woodhaven,-73.85494030049989,40.689977295999924
259,Bronx,Woodlawn/Wakefield,-73.85633414049991,40.899060743550635
260,Queens,Woodside,-73.90685097249985,40.74660325849992
261,Manhattan,World Trade Center,-74.01264349249996,40.70911981499988
262,Manhattan,Yorkville East,-73.94514204811306,40.7766813630047
263,Manhattan,Yorkville West,-73.95100837249984,40.778766265999934
